frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
2;5;257.93;138.45;0.54;259.55;137.91;0.55;256.23;137.57;0.57;261.99;138.32;0.54;253.8;138.18;0.54;265.85;147.05;0.48;265.65;147.12;0.49;271.4;158.5;0.5;271.27;158.5;0.51;266.12;165.74;0.2;265.78;163.85;0.22;261.79;174.21;0.35;261.58;174.21;0.37;261.58;174.21;0.27;262.74;174.21;0.29;264.16;174.21;0.25;263.07;174.21;0.25;118.03;107.99;0.11;179.87;98.51;81.47;34.39;34.82;145.61;145.18;35.75;973.39;1262.65;
2;6;98.53;148.65;0.46;99.98;146.7;0.49;96.99;146.75;0.46;101.98;147.78;0.46;94.57;147.78;0.42;104.81;153.8;0.24;91.28;154.06;0.22;105.12;160.75;0.21;87.93;161.83;0.21;105.07;153.49;0.13;90.51;157.45;0.1;102.24;172.58;0.2;93.59;172.58;0.19;102.09;172.58;0.16;91.59;172.58;0.17;100.28;172.58;0.2;93.34;172.58;0.19;2.14;7.18;179.85;0.04;97.8;82.87;10.34;30.42;169.66;149.58;23.93;7.86;21.41;
3;0;228.79;263.68;0.85;224.67;262.65;0.63;230.59;262.91;0.64;221.06;266.0;0.76;232.91;266.25;0.66;211.27;282.23;0.82;244.5;284.03;0.81;205.34;307.99;0.74;247.08;310.57;0.82;222.86;310.31;0.39;241.93;326.54;0.6;216.68;324.48;0.76;238.58;324.99;0.74;204.31;361.58;0.8;254.03;362.35;0.8;194.01;401.51;0.85;267.95;400.73;0.84;84.59;156.58;176.04;177.44;154.27;149.29;20.25;13.78;159.75;166.22;137.44;4.96;29.43;
3;1;236.43;219.22;0.86;237.27;217.53;0.71;235.37;218.16;0.7;232.21;220.27;0.64;241.28;219.43;0.49;225.04;234.19;0.78;250.98;233.13;0.76;218.72;257.38;0.78;258.15;254.64;0.76;225.67;252.11;0.6;249.92;254.85;0.49;233.48;268.98;0.75;249.08;267.5;0.71;240.01;298.92;0.43;259.2;297.87;0.77;242.12;328.02;0.52;268.69;324.65;0.8;37.6;73.03;171.83;178.92;178.69;158.4;28.88;21.6;151.12;158.4;107.12;29.01;44.2;
3;2;114.16;167.98;0.6;115.8;165.25;0.49;112.34;165.62;0.56;111.24;168.53;0.3;109.42;167.44;0.44;110.15;178.91;0.42;105.23;176.73;0.66;120.53;198.22;0.44;121.81;169.62;0.57;80.82;193.48;0.39;134.37;158.88;0.61;101.59;211.33;0.44;97.58;211.88;0.5;105.41;235.38;0.45;103.41;236.1;0.35;114.52;264.7;0.55;112.15;267.25;0.42;54.93;162.67;171.79;177.85;156.17;154.19;43.06;125.48;136.94;54.52;97.99;249.02;33.68;
3;3;76.71;227.03;0.53;74.09;224.61;0.36;82.87;224.71;0.39;72.57;227.84;0.56;83.17;225.31;0.57;71.26;241.26;0.7;92.15;236.52;0.58;74.49;257.21;0.52;96.49;249.74;0.44;75.7;268.41;0.47;86.81;258.22;0.27;91.75;272.55;0.48;102.95;268.11;0.56;90.14;286.28;0.26;104.67;286.28;0.36;91.04;286.28;0.2;116.98;286.28;0.27;174.72;113.01;83.29;95.4;140.07;166.52;21.77;0.7;158.23;179.3;59.25;2363.14;2790.14;
3;4;19.38;265.42;0.63;18.54;262.88;0.54;19.89;263.56;0.62;13.13;265.08;0.58;19.38;265.75;0.71;18.03;282.66;0.59;18.03;283.51;0.71;17.36;307.85;0.57;17.02;307.0;0.69;20.74;324.59;0.59;21.24;324.42;0.69;5.69;328.14;0.44;10.76;327.12;0.51;4.34;369.56;0.37;16.34;344.53;0.44;18.2;369.56;0.35;17.36;369.56;0.37;167.04;163.89;88.13;164.56;166.69;152.77;13.65;6.99;166.35;173.01;104.14;2396.98;2802.16;
3;5;257.94;138.43;0.53;259.65;137.61;0.55;256.23;137.41;0.56;253.9;138.3;0.54;262.04;138.09;0.53;265.81;146.99;0.44;265.6;147.26;0.48;271.62;158.34;0.43;271.42;158.41;0.49;239.26;164.5;0.14;266.01;163.75;0.2;251.98;174.36;0.36;262.18;174.36;0.38;252.94;174.36;0.25;263.41;174.36;0.29;265.26;174.36;0.25;263.41;174.36;0.25;73.66;107.09;179.98;90.0;63.21;82.8;53.91;34.74;126.09;145.26;35.92;807.71;7.45;
3;6;98.44;148.46;0.48;99.92;146.41;0.51;96.85;146.57;0.48;101.91;147.59;0.49;94.45;147.74;0.44;104.67;153.98;0.26;91.33;154.08;0.23;105.44;161.19;0.23;87.75;161.7;0.23;105.08;153.37;0.16;90.41;153.68;0.1;102.27;172.39;0.24;93.58;172.39;0.23;104.93;172.39;0.19;92.45;172.39;0.19;102.37;172.39;0.22;93.32;172.39;0.21;3.45;6.84;0.03;0.08;82.56;82.99;13.51;32.17;166.49;147.83;23.93;3.65;113.49;
4;0;228.68;263.65;0.85;224.56;262.62;0.64;230.74;262.87;0.65;220.95;265.97;0.75;232.8;266.22;0.66;211.41;281.95;0.82;244.66;284.01;0.81;205.48;307.98;0.73;247.24;310.56;0.82;223.01;328.09;0.37;242.34;326.29;0.62;216.56;324.22;0.76;238.47;324.74;0.74;204.45;361.34;0.8;253.94;362.37;0.8;194.14;401.56;0.86;268.12;400.78;0.84;126.09;157.15;176.31;177.92;154.97;149.02;19.78;14.18;160.22;165.82;137.52;534.11;14.61;
