frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
20;0;228.67;348.53;0.85;231.52;345.89;0.89;226.91;345.68;0.86;237.45;348.75;0.58;223.84;348.75;0.27;245.36;364.56;0.81;219.44;364.12;0.82;249.75;383.22;0.78;214.61;384.1;0.76;242.5;387.62;0.61;219.44;384.98;0.66;240.74;402.55;0.78;226.25;405.18;0.76;244.04;434.17;0.73;228.67;433.73;0.68;241.4;462.71;0.78;229.76;448.0;0.77;107.98;86.71;168.78;179.56;167.13;175.42;20.16;23.0;159.84;157.0;106.83;423.49;73.0;
21;0;228.91;346.21;0.87;231.87;343.47;0.87;227.77;343.25;0.86;238.95;346.67;0.58;301.22;345.53;0.32;247.39;363.09;0.79;220.47;363.09;0.8;256.28;384.08;0.79;214.54;384.08;0.77;256.97;402.78;0.71;213.4;403.24;0.78;241.0;403.01;0.77;226.4;404.38;0.78;244.19;434.94;0.73;228.23;435.86;0.73;241.0;462.54;0.78;229.82;443.84;0.75;159.12;167.63;167.69;172.01;165.2;175.14;32.06;23.96;147.94;156.04;106.98;630.84;578.87;
22;0;228.97;346.23;0.87;231.93;343.5;0.87;227.6;343.27;0.87;238.99;346.68;0.59;301.18;345.55;0.33;247.42;363.08;0.79;220.54;363.08;0.8;256.3;384.04;0.79;214.62;384.27;0.77;257.21;402.72;0.71;213.25;403.4;0.78;241.04;402.95;0.77;226.46;404.31;0.78;244.0;434.83;0.73;228.29;435.75;0.74;241.04;462.62;0.78;229.88;443.95;0.75;159.82;168.47;168.61;172.31;165.6;175.14;32.06;23.79;147.94;156.21;107.06;7.7;6.59;
23;0;228.56;346.07;0.88;231.99;343.1;0.85;227.88;342.87;0.85;238.62;346.75;0.6;226.97;345.84;0.44;247.53;362.98;0.73;220.8;362.98;0.76;258.5;383.54;0.71;214.63;384.23;0.76;265.58;401.14;0.61;209.6;403.19;0.74;241.82;403.88;0.69;226.51;404.79;0.71;242.96;433.58;0.73;227.65;436.33;0.71;240.45;463.06;0.75;228.34;444.32;0.71;173.86;178.66;172.92;177.18;169.85;174.3;36.02;23.97;143.98;156.03;107.63;256.35;110.16;
24;0;228.44;346.22;0.88;231.62;343.27;0.88;227.76;343.04;0.87;238.21;347.13;0.44;226.39;345.99;0.26;247.76;363.72;0.76;221.39;363.49;0.77;260.94;379.17;0.78;214.12;382.58;0.78;270.48;392.13;0.68;208.89;400.08;0.74;242.07;404.85;0.72;227.3;405.31;0.74;241.85;434.85;0.74;227.08;437.58;0.71;240.03;462.57;0.76;226.39;445.3;0.71;175.92;175.78;176.68;175.36;172.57;171.55;48.33;28.9;131.67;151.1;107.72;308.68;96.06;
25;0;228.7;346.69;0.84;232.53;343.53;0.85;227.35;343.31;0.85;239.29;347.59;0.41;224.64;347.36;0.19;247.18;363.82;0.74;221.94;362.92;0.75;263.41;375.32;0.67;216.53;376.22;0.66;275.36;385.01;0.66;222.39;395.83;0.44;242.0;404.62;0.72;227.57;404.85;0.74;241.32;433.7;0.69;225.32;433.25;0.67;239.75;460.97;0.72;225.99;446.1;0.68;176.26;141.23;178.02;172.45;174.09;167.81;61.93;29.79;118.07;150.21;106.85;259.76;425.83;
26;0;227.03;343.83;0.88;231.16;340.85;0.8;226.34;340.16;0.82;237.13;346.36;0.6;224.73;345.21;0.4;245.62;361.04;0.68;219.46;359.67;0.77;262.14;362.19;0.65;225.19;377.79;0.57;274.3;362.42;0.63;234.6;393.86;0.36;242.4;403.04;0.69;226.57;402.12;0.72;240.8;435.85;0.7;221.52;433.1;0.75;239.65;462.01;0.71;222.9;458.8;0.72;177.11;167.2;179.71;167.68;178.43;161.23;90.4;8.05;89.6;171.95;116.57;680.71;372.39;
27;0;226.98;343.81;0.89;231.11;340.83;0.81;226.29;340.14;0.83;237.08;346.34;0.6;224.68;345.19;0.39;245.8;361.03;0.68;219.4;359.65;0.77;262.56;361.95;0.66;225.14;378.25;0.57;274.73;362.41;0.64;234.78;394.55;0.37;242.59;403.04;0.7;226.52;402.35;0.73;240.98;435.64;0.71;221.47;433.11;0.75;239.61;461.81;0.72;222.85;458.59;0.73;179.02;166.55;179.81;167.58;178.45;161.21;91.24;7.69;88.76;172.31;116.39;12.86;21.48;
28;0;227.13;342.25;0.85;230.99;338.87;0.86;226.4;338.38;0.84;237.04;344.67;0.51;223.98;342.98;0.4;245.74;358.2;0.68;219.15;357.0;0.75;260.72;355.79;0.68;226.64;376.57;0.57;270.15;355.55;0.67;230.03;391.32;0.33;243.32;401.71;0.7;227.37;400.75;0.71;240.66;437.0;0.68;220.36;432.89;0.69;240.9;462.86;0.71;219.88;464.8;0.71;172.31;171.98;175.16;168.57;178.87;157.06;102.34;10.3;77.66;169.7;121.58;248.29;173.04;
29;0;226.81;340.11;0.85;230.66;336.52;0.86;225.79;335.75;0.85;236.81;342.67;0.5;223.48;341.39;0.37;246.3;355.23;0.69;218.61;355.23;0.74;261.93;350.88;0.65;225.53;353.18;0.54;264.24;350.36;0.61;232.45;350.88;0.44;242.71;401.38;0.7;227.33;400.61;0.71;240.4;438.81;0.69;219.89;435.22;0.71;241.43;459.06;0.73;217.07;470.08;0.72;176.96;178.07;173.57;172.5;179.08;157.0;110.02;95.63;69.98;84.37;124.46;236.6;1219.53;
