frame   person_id   nose_x    nose_y   nose_conf   left_eye_x   left_eye_y   left_eye_conf   right_eye_x   right_eye_y   right_eye_conf   left_ear_x   left_ear_y   left_ear_conf   right_ear_x   right_ear_y   right_ear_conf   left_shoulder_x   left_shoulder_y   left_shoulder_conf   right_shoulder_x   right_shoulder_y   right_shoulder_conf   left_elbow_x   left_elbow_y   left_elbow_conf   right_elbow_x   right_elbow_y   right_elbow_conf   left_wrist_x   left_wrist_y   left_wrist_conf   right_wrist_x   right_wrist_y   right_wrist_conf   left_hip_x   left_hip_y   left_hip_conf   right_hip_x   right_hip_y   right_hip_conf   left_knee_x   left_knee_y   left_knee_conf   right_knee_x   right_knee_y   right_knee_conf   left_ankle_x   left_ankle_y   left_ankle_conf   right_ankle_x   right_ankle_y   right_ankle_conf   left_elbow_angle_2d_proj   right_elbow_angle_2d_proj   left_knee_angle_2d_proj   right_knee_angle_2d_proj   left_hip_angle_2d_proj   right_hip_angle_2d_proj   left_shoulder_angle_2d_proj   right_shoulder_angle_2d_proj   left_apparent_shoulder_rotation_2d_deg   right_apparent_shoulder_rotation_2d_deg   body_height_px   left_wrist_apparent_velocity_px_s   right_wrist_apparent_velocity_px_s   detected_event       
------- ----------- --------- -------- ----------- ------------ ------------ --------------- ------------- ------------- ---------------- ------------ ------------ --------------- ------------- ------------- ---------------- ----------------- ----------------- -------------------- ------------------ ------------------ --------------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------- -------------- ----------------- --------------- --------------- ------------------ ------------ ------------ --------------- ------------- ------------- ---------------- ------------- ------------- ---------------- -------------- -------------- ----------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------------------- --------------------------- ------------------------- -------------------------- ------------------------ ------------------------- ----------------------------- ------------------------------ ---------------------------------------- ----------------------------------------- ---------------- ----------------------------------- ------------------------------------ -------------------- 
19      0           1151.37   365.86   0.9         1143.65      359.0        0.64            1153.95       357.28        0.61             1135.07      370.15       0.4             1181.4        361.57        0.49             1125.63           425.06            0.81                 1231.17            408.76             0.87                  1112.76        461.96         0.86              1235.46         485.12          0.57               1156.52        544.32         0.79              1224.3          545.18          0.63               1210.57      588.08       0.71            1238.89       580.36        0.69             1237.17       719.36        0.74             1180.54        674.74         0.88              1261.2         808.59         0.28              1201.99         801.72          0.86               132.79                     166.26                      176.39                    138.69                     163.93                   145.7                     46.75                         0.64                           133.25                                   179.36                                    439.3            1306.69                             1073.61                              -                    
20      0           1152.27   365.97   0.91        1145.4       359.1        0.66            1154.85       357.39        0.63             1135.09      369.41       0.39            1181.47       361.68        0.47             1126.5            425.24            0.81                 1230.43            408.92             0.86                  1112.76        462.17         0.86              1233.87         486.22          0.55               1156.56        544.63         0.8               1223.56         545.49          0.62               1209.82      588.44       0.71            1236.44       581.56        0.69             1236.44       720.71        0.77             1180.61        674.33         0.88              1259.64        808.32         0.29              1202.09         800.59          0.86               131.61                     167.59                      176.55                    139.31                     164.34                   146.96                    47.46                         0.55                           132.54                                   179.45                                    438.48           9.34                                24.24                                -                    
21      0           1118.46   372.54   0.82        1116.81      369.25       0.56            1111.05       368.43        0.55             1093.78      375.83       0.54            1142.31       373.36        0.52             1078.97           421.9             0.8                  1182.63            413.67             0.8                   1064.98        441.64         0.79              1242.68         414.5           0.64               1096.24        504.17         0.77              1215.53         433.42          0.36               1136.56      567.51       0.75            1202.37       574.1         0.76             1162.06       713.13        0.71             1125.04        681.87         0.76              1231.99        770.72         0.81              1087.19         805.27          0.83               118.12                     35.66                       139.41                    161.39                     168.36                   137.32                    56.89                         82.2                           123.11                                   97.8                                      415.45           2191.16                             3389.53                              -                    
22      0           1118.64   372.73   0.82        1116.17      369.44       0.56            1111.23       368.61        0.54             1093.97      376.01       0.56            1142.48       373.55        0.52             1077.52           422.06            0.8                  1182.77            413.84             0.8                   1066.01        442.62         0.78              1242.8          413.84          0.64               1095.61        503.47         0.77              1216.49         433.57          0.36               1135.9       567.61       0.75            1202.51       573.36        0.76             1162.22       713.97        0.71             1125.21        681.9          0.76              1232.11        769.89         0.81              1087.39         805.24          0.83               124.81                     36.87                       138.85                    161.59                     168.33                   137.49                    51.11                         82.95                          128.89                                   97.05                                     414.84           28.45                               29.17                                -                    
23      0           1073.66   396.1    0.84        1071.24      392.07       0.54            1063.18       390.46        0.64             1049.47      402.56       0.46            1093.02       399.33        0.4              1031.73           444.49            0.79                 1133.34            434.81             0.73                  1030.93        481.58         0.7               1195.43         440.46          0.67               1039.8         528.35         0.74              1243.01         458.2           0.57               1083.34      584.8        0.68            1144.63       587.22        0.69             1066.41       713.02        0.72             1080.11        706.56         0.7               1094.63        758.17         0.76              1051.08         813.01          0.74               168.02                     164.74                      140.47                    166.86                     152.28                   147.37                    21.44                         80.57                          158.56                                   99.43                                     389.49           1843.55                             1091.65                              -                    
24      0           1073.7    396.09   0.84        1071.28      392.06       0.54            1063.22       390.45        0.65             1049.51      402.54       0.46            1092.25       399.32        0.41             1031.77           444.48            0.79                 1132.57            434.8              0.74                  1030.96        480.76         0.7               1193.86         440.44          0.67               1039.83        528.34         0.74              1242.24         457.38          0.6                1083.38      584.79       0.68            1144.67       587.21        0.69             1066.44       713.01        0.72             1080.15        705.75         0.7               1095.47        758.17         0.77              1051.12         813.01          0.75               168.17                     165.97                      139.74                    166.59                     152.28                   146.91                    21.47                         80.2                           158.53                                   99.8                                      389.5            1.16                                33.76                                -                    
25      0           1073.56   396.04   0.84        1071.14      392.01       0.54            1063.07       390.39        0.65             1050.17      402.49       0.46            1092.11       399.27        0.41             1031.61           444.44            0.79                 1133.25            434.76             0.74                  1030.81        481.55         0.71              1194.56         440.41          0.68               1039.68        528.34         0.74              1242.96         458.16          0.58               1083.24      584.8        0.68            1144.55       587.22        0.69             1067.11       713.06        0.72             1080.01        706.61         0.7               1094.53        758.24         0.77              1050.97         813.09          0.75               168.02                     165.13                      141.57                    166.86                     152.64                   147.37                    21.44                         80.5                           158.56                                   99.5                                      389.62           4.65                                31.92                                -                    
26      0           1028.33   421.58   0.72        1019.03      420.8        0.57            1024.45       418.48        0.56             1011.28      429.33       0.58            1048.48       427.78        0.52             989.58            480.47            0.82                 1093.42            474.27             0.75                  985.71         529.29         0.79              1141.47         522.32          0.77               986.48         616.86         0.76              1177.89         580.44          0.83               1037.63      603.69       0.68            1097.3        606.01        0.7              996.56        711.4         0.81             1045.38        706.75         0.81              965.56         803.62         0.84              1039.95         816.02          0.82               174.96                     167.07                      177.71                    155.58                     137.83                   151.05                    25.84                         43.32                          154.16                                   136.68                                    388.24           3115.64                             4178.69                              -                    
27      0           988.72    430.39   0.62        972.55       424.23       0.51            1011.06       423.46        0.49             976.4        432.7        0.72            1016.45       432.7         0.77             954.84            486.61            0.86                 1054.19            484.3              0.86                  940.21         562.09         0.81              1068.82         560.55          0.84               950.99         627.55         0.76              1056.5          617.54          0.63               985.64       621.39       0.73            1044.95       624.47        0.76             959.46        722.28        0.81             1018.76        726.9          0.85              888.61         811.61         0.87              1033.39         818.55          0.87               159.67                     156.94                      156.13                    156.59                     152.58                   169.43                    23.85                         14.64                          156.15                                   165.36                                    384.69           1118.22                             3829.23                              -                    
28      0           988.01    430.34   0.62        972.6        424.18       0.51            1011.12       423.41        0.5              976.46       432.65       0.72            1016.51       432.65        0.77             954.89            486.57            0.86                 1054.26            484.26             0.86                  940.25         562.07         0.81              1068.9          561.3           0.84               951.03         627.55         0.76              1057.34         618.31          0.63               985.7        621.39       0.73            1045.02       625.24        0.76             959.51        721.54        0.81             1018.83        726.93         0.85              888.63         811.67         0.86              1033.46         818.6           0.88               159.67                     157.78                      156.48                    156.48                     152.47                   169.31                    23.85                         14.51                          156.15                                   165.49                                    384.8            1.38                                34.5                                 -                    
29      0           987.43    430.58   0.61        972.04       423.65       0.5             1012.05       422.88        0.49             975.89       432.89       0.72            1015.89       432.89        0.78             955.11            486.75            0.85                 1054.37            484.44             0.85                  940.49         562.15         0.81              1068.98         560.61          0.84               951.26         629.09         0.76              1055.13         618.31          0.63               985.12       621.39       0.73            1045.13       625.24        0.76             959.73        721.42        0.81             1018.97        726.8          0.85              888.94         811.44         0.86              1033.59         818.36          0.87               159.89                     155.64                      156.06                    156.48                     153.19                   169.31                    23.54                         14.62                          156.46                                   165.38                                    384.32           46.84                               66.63                                -                    
30      0           965.5     426.0    0.5         948.44       420.57       0.54            997.3         419.02        0.49             952.32       425.23       0.84            991.87        426.78        0.8              929.05            467.88            0.85                 1016.68            474.08             0.9                   903.46         492.7          0.78              1007.38         521.39          0.76               943.79         480.29         0.68              975.58          490.37          0.66               939.91       623.76       0.82            992.64        626.08        0.81             929.83        724.57        0.89             1010.48        735.43         0.94              866.24         813.75         0.92              1029.87         809.88          0.93               27.02                      56.84                       150.22                    174.67                     170.31                   161.75                    49.87                         2.14                           130.13                                   177.86                                    385.81           4494.46                             4544.95                              -                    
31      0           966.29    426.02   0.51        948.45       421.37       0.55            997.31        419.82        0.49             952.33       425.24       0.84            991.88        426.79        0.8              929.07            468.67            0.85                 1016.69            474.1              0.9                   903.48         492.71         0.78              1007.39         521.4           0.76               943.8          479.52         0.67              975.6           488.83          0.66               939.92       624.53       0.82            992.65        626.08        0.81             929.84        724.57        0.89             1009.71        735.42         0.95              866.26         813.74         0.93              1029.1          809.86          0.94               25.11                      55.44                       150.26                    174.27                     170.26                   162.14                    50.77                         2.14                           129.23                                   177.86                                    385.78           23.01                               46.43                                -                    
32      0           936.17    372.13   0.76        931.04       368.27       0.72            946.45        369.56        0.61             931.04       375.98       0.85            965.72        375.98        0.75             910.48            410.66            0.86                 991.41             419.65             0.92                  889.93         377.27         0.89              969.57          409.38          0.68               922.04         338.73         0.88              943.88          365.71          0.69               923.33       559.66       0.87            974.71        562.23        0.86             905.35        689.39        0.92             992.69         673.98         0.86              875.8          796.01         0.95              1018.38         775.45          0.91               108.59                     145.67                      172.4                     174.93                     167.18                   164.18                    153.32                        108.52                         26.68                                    71.48                                     413.6            4297.71                             3835.52                              -                    
33      0           934.4     370.33   0.76        929.28       367.77       0.73            944.65        367.77        0.61             931.84       376.73       0.85            966.41        375.45        0.75             910.08            411.3             0.86                 990.73             418.98             0.92                  889.6          376.73         0.89              966.41          406.18          0.68               922.88         338.33         0.87              942.09          361.37          0.71               922.88       559.8        0.87            975.37        562.36        0.85             904.96        690.38        0.92             992.01         673.73         0.86              875.52         796.63         0.95              1018.9          774.87          0.9                108.43                     146.25                      172.33                    173.61                     167.26                   165.39                    154.28                        111.64                         25.72                                    68.36                                     415.42           28.11                               141.56                               -                    
34      0           933.69    369.97   0.76        929.87       367.42       0.73            945.15        368.7         0.59             932.42       376.33       0.85            968.05        375.06        0.76             910.78            409.42            0.87                 990.96             419.61             0.92                  890.42         377.61         0.9               965.51          395.42          0.7                923.51         338.15         0.88              942.6           354.7           0.74               923.51       559.61       0.87            974.42        562.15        0.86             905.69        689.43        0.93             992.24         672.88         0.87              875.15         797.61         0.95              1017.69         774.7           0.91               107.39                     162.89                      172.05                    175.11                     167.34                   164.24                    152.22                        126.91                         27.78                                    53.09                                     416.18           19.6                                201.87                               -                    
