frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
10;0;1486.9;580.72;0.9;1490.09;574.32;0.91;1488.5;574.32;0.9;1500.75;578.59;0.38;1511.41;775.72;0.16;1519.4;620.68;0.76;1514.6;621.21;0.66;1522.06;667.56;0.75;1521.0;669.69;0.62;1474.11;693.14;0.78;1519.93;698.46;0.44;1523.66;719.78;0.67;1518.86;717.64;0.63;1508.74;781.58;0.74;1509.27;779.45;0.7;1546.57;854.57;0.75;1536.98;844.45;0.71;114.82;170.37;139.03;148.09;163.97;168.65;0.79;4.98;179.21;175.02;268.8;107.69;101.42;
10;1;1141.43;569.98;0.97;1145.3;565.76;0.96;1138.26;565.76;0.98;1153.4;568.22;0.87;1134.04;568.57;0.68;1164.66;593.91;0.86;1125.59;596.02;0.87;1172.05;624.18;0.87;1118.91;623.48;0.79;1150.93;626.64;0.81;1123.83;627.35;0.78;1157.62;656.56;0.79;1138.26;657.26;0.8;1155.86;695.98;0.81;1141.43;697.03;0.84;1157.27;741.73;0.83;1149.88;738.21;0.82;82.93;114.47;175.68;172.96;176.15;172.86;20.13;25.38;159.87;154.62;169.99;7.31;2.61;
11;0;1486.93;580.69;0.9;1490.12;574.29;0.92;1488.52;574.29;0.9;1500.78;578.56;0.39;1511.44;775.71;0.16;1519.43;620.12;0.77;1514.63;621.19;0.67;1522.09;667.54;0.75;1519.96;669.67;0.63;1474.14;693.12;0.77;1519.96;696.32;0.44;1523.16;720.3;0.68;1518.9;718.16;0.64;1508.77;781.57;0.75;1509.31;779.44;0.71;1546.6;854.57;0.75;1537.01;844.98;0.72;114.86;173.73;139.39;148.19;164.65;168.59;1.08;3.75;178.92;176.25;269.09;0.96;64.62;
11;1;1141.1;569.97;0.96;1145.32;565.75;0.96;1138.29;565.75;0.98;1153.05;568.22;0.86;1134.07;568.57;0.67;1164.66;593.89;0.86;1125.63;596.0;0.87;1172.04;624.13;0.87;1118.94;623.43;0.78;1150.95;626.59;0.81;1123.87;627.29;0.78;1157.63;656.48;0.79;1138.29;657.18;0.8;1155.87;696.22;0.81;1141.45;696.92;0.83;1157.27;741.58;0.83;1149.89;738.06;0.82;82.93;114.47;175.69;172.96;176.12;172.86;20.13;25.38;159.87;154.62;169.85;1.68;1.97;
12;0;1486.81;582.96;0.9;1489.97;577.17;0.92;1488.39;577.17;0.91;1501.54;581.9;0.41;1509.43;775.46;0.16;1519.95;624.51;0.77;1513.64;624.51;0.67;1522.05;673.95;0.76;1519.42;672.9;0.6;1472.61;694.46;0.76;1518.9;695.52;0.42;1523.63;722.87;0.68;1517.85;720.24;0.63;1505.22;783.35;0.73;1505.22;781.25;0.7;1545.72;854.89;0.74;1536.78;845.95;0.7;110.1;171.85;133.55;142.31;160.93;165.79;0.29;4.3;179.71;175.7;267.46;61.15;40.09;
12;1;1141.06;569.98;0.96;1145.25;565.78;0.96;1138.26;565.43;0.98;1152.95;568.23;0.88;1134.06;568.58;0.69;1164.14;593.76;0.86;1125.32;595.86;0.87;1171.48;624.18;0.87;1118.67;623.13;0.78;1150.5;626.63;0.81;1122.87;627.33;0.78;1157.14;656.35;0.79;1137.91;657.05;0.8;1155.39;695.52;0.81;1141.41;696.57;0.83;1157.49;741.33;0.83;1149.8;737.83;0.82;83.08;121.31;174.82;173.56;176.18;173.43;19.95;25.31;160.05;154.69;169.61;13.52;30.02;
13;0;1486.98;583.12;0.88;1489.62;577.85;0.89;1488.04;577.85;0.88;1500.69;582.59;0.4;1508.07;583.65;0.18;1519.14;625.83;0.77;1514.4;625.3;0.67;1519.67;676.97;0.75;1519.67;674.33;0.61;1472.74;697.01;0.78;1517.03;705.44;0.42;1522.31;722.31;0.7;1518.09;719.68;0.65;1503.33;781.89;0.71;1502.27;779.79;0.7;1542.34;852.55;0.74;1536.02;845.16;0.71;112.53;169.02;133.42;137.96;160.45;163.02;1.29;3.9;178.71;176.1;265.74;76.63;303.96;
13;1;1139.88;570.05;0.95;1144.07;565.51;0.95;1137.09;565.51;0.97;1152.09;567.95;0.85;1132.9;569.0;0.66;1163.25;594.12;0.85;1124.18;596.56;0.87;1170.23;624.47;0.86;1118.25;624.12;0.78;1149.3;627.96;0.8;1122.44;628.66;0.77;1156.63;656.22;0.78;1137.09;656.92;0.79;1153.83;694.6;0.8;1140.58;695.99;0.82;1156.28;740.65;0.82;1148.6;737.86;0.81;86.52;125.15;172.8;174.25;178.07;173.03;19.04;24.22;160.96;155.78;169.21;53.91;42.12;
14;0;1486.25;581.91;0.9;1488.92;576.05;0.93;1486.79;576.05;0.9;1500.12;580.31;0.4;1488.92;581.91;0.19;1519.32;622.45;0.78;1514.52;622.98;0.68;1519.32;670.45;0.75;1515.05;674.18;0.65;1476.12;698.71;0.77;1483.59;701.91;0.46;1519.32;720.05;0.73;1522.52;718.45;0.7;1497.45;778.18;0.78;1513.99;777.65;0.76;1539.59;844.84;0.77;1536.92;845.38;0.76;123.2;130.79;127.09;153.09;159.39;167.01;0.0;4.19;180.0;175.81;263.2;113.78;1012.13;
14;1;1139.48;569.35;1.0;1144.03;565.56;0.98;1136.83;565.56;0.99;1151.99;568.21;0.89;1132.28;567.83;0.69;1162.98;593.6;0.88;1123.56;596.64;0.87;1169.8;624.68;0.88;1117.5;623.55;0.8;1148.2;627.71;0.82;1120.91;628.47;0.79;1156.16;656.14;0.8;1136.83;657.28;0.81;1153.5;695.18;0.82;1140.24;696.31;0.84;1155.78;740.66;0.85;1148.2;736.87;0.82;85.61;132.61;173.25;173.89;177.66;172.65;18.61;25.04;161.39;154.96;169.41;33.94;46.24;
