frame   person_id   nose_x   nose_y   nose_conf   left_eye_x   left_eye_y   left_eye_conf   right_eye_x   right_eye_y   right_eye_conf   left_ear_x   left_ear_y   left_ear_conf   right_ear_x   right_ear_y   right_ear_conf   left_shoulder_x   left_shoulder_y   left_shoulder_conf   right_shoulder_x   right_shoulder_y   right_shoulder_conf   left_elbow_x   left_elbow_y   left_elbow_conf   right_elbow_x   right_elbow_y   right_elbow_conf   left_wrist_x   left_wrist_y   left_wrist_conf   right_wrist_x   right_wrist_y   right_wrist_conf   left_hip_x   left_hip_y   left_hip_conf   right_hip_x   right_hip_y   right_hip_conf   left_knee_x   left_knee_y   left_knee_conf   right_knee_x   right_knee_y   right_knee_conf   left_ankle_x   left_ankle_y   left_ankle_conf   right_ankle_x   right_ankle_y   right_ankle_conf   left_elbow_angle_2d_proj   right_elbow_angle_2d_proj   left_knee_angle_2d_proj   right_knee_angle_2d_proj   left_hip_angle_2d_proj   right_hip_angle_2d_proj   left_shoulder_angle_2d_proj   right_shoulder_angle_2d_proj   left_apparent_shoulder_rotation_2d_deg   right_apparent_shoulder_rotation_2d_deg   body_height_px   left_wrist_apparent_velocity_px_s   right_wrist_apparent_velocity_px_s   detected_event       
------- ----------- -------- -------- ----------- ------------ ------------ --------------- ------------- ------------- ---------------- ------------ ------------ --------------- ------------- ------------- ---------------- ----------------- ----------------- -------------------- ------------------ ------------------ --------------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------- -------------- ----------------- --------------- --------------- ------------------ ------------ ------------ --------------- ------------- ------------- ---------------- ------------- ------------- ---------------- -------------- -------------- ----------------- -------------- -------------- ----------------- --------------- --------------- ------------------ -------------------------- --------------------------- ------------------------- -------------------------- ------------------------ ------------------------- ----------------------------- ------------------------------ ---------------------------------------- ----------------------------------------- ---------------- ----------------------------------- ------------------------------------ -------------------- 
6       1           156.77   174.02   0.77        158.08       172.35       0.73            155.81        172.47        0.7              160.82       173.66       0.54            154.74        173.19        0.45             161.9             181.65            0.8                  151.52             182.25             0.83                  158.8          188.33         0.81              148.66          192.5           0.85               147.95         190.71         0.79              143.65          200.13          0.78               162.01       201.56       0.73            154.74        202.64        0.76             165.71        216.95        0.81             151.88         218.26         0.85              176.56         228.15         0.81              153.79          234.12          0.81               127.3                      162.32                      149.44                    162.76                     166.83                   160.65                    25.25                         24.57                          154.75                                   155.43                                    57.11            62.85                               62.39                                -                    
6       2           275.88   173.84   0.84        277.3        172.31       0.88            275.0         172.2         0.84             280.14       174.17       0.67            273.58        173.18        0.45             281.78            182.26            0.86                 270.08             181.72             0.86                  283.53         191.23         0.79              266.36          190.68          0.82               282.66         194.29         0.58              270.41          197.25          0.83               278.06       201.07       0.79            269.42        200.96        0.78             281.02        215.18        0.77             267.13         215.62         0.82              284.51         227.98         0.74              263.85          227.65          0.86               153.01                     125.82                      176.52                    173.65                     157.0                    173.05                    22.22                         20.57                          157.78                                   159.43                                    53.97            43.46                               62.93                                -                    
7       0           160.43   174.46   0.77        161.64       172.77       0.73            159.34        172.77        0.71             164.53       173.74       0.51            158.38        173.38        0.42             165.5             181.95            0.8                  154.99             182.43             0.82                  162.0          188.83         0.82              152.34          193.06          0.86               151.61         191.61         0.77              148.11          201.02          0.78               165.38       201.75       0.73            158.5         202.71        0.75             169.12        217.08        0.8              155.24         218.17         0.86              179.87         228.43         0.79              156.81          233.86          0.81               131.94                     166.1                       150.28                    162.38                     165.93                   158.29                    26.62                         23.83                          153.38                                   156.17                                    56.69            2152.31                             3748.54                              peak_hand_velocity   
7       1           229.59   193.97   0.8         231.06       191.94       0.83            229.4         191.76        0.8              235.66       193.97       0.7             243.39        193.41        0.56             233.08            204.64            0.69                 246.15             201.88             0.76                  223.88         208.32         0.51              260.69          206.67          0.77               222.22         207.96         0.58              275.42          209.43          0.75               244.13       237.22       0.71            241.0         236.3         0.64             256.09        260.23        0.77             221.12         245.14         0.77              283.15         273.85         0.82              207.13          267.78          0.81               145.67                     172.4                       144.2                     145.67                     171.25                   122.48                    86.92                         80.3                           93.08                                    99.7                                      76.85            2293.95                             3973.89                              cocking_backswing    
7       2           279.81   174.21   0.82        281.25       172.76       0.89            278.92        172.43        0.85             283.26       174.21       0.62            277.47        173.87        0.63             285.15            181.99            0.85                 274.14             181.54             0.85                  284.92         192.0          0.6               270.13          190.44          0.82               283.81         196.78         0.38              274.81          197.45          0.83               281.7        200.12       0.79            273.14        199.89        0.77             282.59        215.46        0.76             270.69         215.35         0.8               284.48         229.14         0.66              267.24          227.25          0.87               168.18                     122.08                      175.45                    172.84                     165.91                   174.13                    9.5                           21.11                          170.5                                    158.89                                    53.99            82.5                                132.45                               -                    
8       0           160.54   174.46   0.78        161.75       172.89       0.73            159.45        173.01        0.71             164.52       173.86       0.5             158.37        173.49        0.41             165.37            181.94            0.8                  154.99             182.31             0.83                  161.99         188.82         0.82              152.33          193.05          0.87               151.49         191.6          0.77              148.11          201.26          0.79               165.25       201.74       0.74            158.49        202.58        0.76             169.23        217.07        0.81             155.23         218.16         0.86              179.73         228.42         0.8               156.8           233.97          0.81               130.97                     166.65                      151.78                    162.51                     165.08                   158.38                    25.81                         23.68                          154.19                                   156.32                                    56.73            3.81                                7.01                                 -                    
8       1           229.76   194.19   0.79        231.23       191.99       0.82            229.58        191.81        0.79             235.82       194.19       0.69            243.52        193.46        0.56             233.25            204.47            0.69                 246.28             201.9              0.76                  224.08         208.32         0.51              260.95          206.67          0.77               222.24         207.77         0.58              275.63          209.42          0.76               243.89       236.94       0.7             240.77        235.84        0.63             256.0         260.42        0.76             220.96         245.2          0.77              283.34         273.82         0.82              207.2           267.58          0.8                140.52                     172.62                      143.38                    146.86                     170.87                   124.49                    85.36                         81.21                          94.64                                    98.79                                     76.51            5.65                                6.36                                 -                    
8       2           279.75   174.05   0.82        281.2        172.6        0.88            278.86        172.38        0.85             283.2        174.16       0.62            277.52        173.83        0.62             285.1             181.95            0.85                 274.07             181.62             0.84                  284.98         191.97         0.6               270.07          190.53          0.82               283.98         197.65         0.36              274.96          197.54          0.83               281.64       200.77       0.78            273.18        200.43        0.77             282.65        215.46        0.76             270.73         215.35         0.81              284.54         228.82         0.66              267.28          227.38          0.87               170.63                     120.84                      175.84                    173.31                     165.71                   173.39                    9.76                          21.52                          170.24                                   158.48                                    54.05            26.72                               5.54                                 -                    
9       0           163.93   174.39   0.77        165.13       172.96       0.71            162.85        172.84        0.7              167.28       173.67       0.56            161.41        173.43        0.5              168.48            181.58            0.81                 158.18             182.06             0.84                  165.37         188.89         0.84              155.9           193.44          0.9                155.54         192.37         0.78              151.83          201.95          0.81               168.6        201.71       0.75            161.29        202.91        0.78             172.2         217.05        0.82             158.3          218.13         0.86              182.74         229.39         0.84              159.74          234.06          0.83               132.56                     165.72                      152.68                    163.71                     167.15                   160.37                    23.43                         19.81                          156.57                                   160.19                                    57.33            124.12                              113.84                               -                    
9       1           230.66   193.52   0.78        232.26       191.2        0.8             230.66        191.02        0.76             236.19       193.34       0.69            244.57        192.98        0.56             234.22            203.86            0.69                 247.24             201.54             0.74                  224.95         204.93         0.59              262.22          205.29          0.74               224.77         203.5          0.57              276.66          207.43          0.75               243.32       237.02       0.69            243.67        236.13        0.61             255.98        260.56        0.75             222.1          246.12         0.76              283.79         272.69         0.81              206.41          267.16          0.79               90.54                      174.39                      141.83                    151.55                     167.06                   120.72                    98.75                         81.85                          81.25                                    98.15                                     76.4             149.22                              67.49                                -                    
9       2           283.37   175.23   0.79        284.34       173.95       0.82            282.52        173.84        0.85             285.73       175.55       0.54            281.02        175.02        0.7              287.12            181.76            0.68                 278.02             181.44             0.74                  274.07         190.96         0.54              274.28          190.75          0.75               283.8          197.27         0.42              280.06          198.02          0.75               284.66       201.34       0.63            277.49        200.7         0.65             274.71        215.25        0.59             274.71         215.25         0.73              286.58         228.09         0.54              270.54          227.23          0.79               68.14                      119.63                      101.65                    171.62                     151.58                   170.77                    47.66                         20.32                          132.34                                   159.68                                    52.43            12.6                                153.91                               -                    
10      0           163.99   174.5    0.77        165.06       172.94       0.72            162.79        172.82        0.7              167.46       173.78       0.57            161.47        173.42        0.5              168.54            181.57            0.8                  158.24             182.05             0.83                  165.42         188.88         0.83              155.96          193.55          0.89               155.6          192.35         0.78              151.89          201.93          0.8                168.66       201.69       0.74            161.47        202.77        0.77             172.25        217.03        0.82             158.36         218.1          0.86              182.79         229.36         0.83              159.67          234.04          0.82               132.56                     165.29                      152.68                    163.79                     167.15                   159.65                    23.43                         20.07                          156.57                                   159.93                                    57.2             1.84                                1.88                                 -                    
10      1           230.72   193.59   0.78        232.32       191.44       0.81            230.54        191.26        0.78             236.26       193.59       0.69            244.66        193.05        0.55             234.47            203.95            0.69                 247.16             201.63             0.75                  225.0          205.02         0.59              261.99          205.38          0.74               224.82         203.24         0.57              276.82          207.35          0.75               243.4        237.01       0.69            243.4         236.12        0.62             255.91        260.43        0.75             222.14         246.13         0.75              283.62         272.58         0.81              206.41          267.22          0.79               89.25                      173.35                      141.81                    151.92                     167.01                   121.41                    98.67                         82.01                          81.33                                    97.99                                     76.31            8.13                                5.45                                 -                    
10      2           283.38   175.18   0.79        284.34       173.9        0.82            282.42        173.9         0.85             285.73       175.5        0.54            281.03        174.96        0.7              287.23            181.8             0.69                 278.04             181.48             0.74                  273.98         190.99         0.53              274.3           190.77          0.76               284.02         197.39         0.44              280.07          198.03          0.76               284.77       201.45       0.64            277.51        200.71        0.65             274.73        215.23        0.59             274.73         215.23         0.74              286.69         228.05         0.54              270.57          227.3           0.79               67.29                      119.63                      100.89                    171.78                     151.04                   170.77                    48.13                         20.32                          131.87                                   159.68                                    52.5             7.61                                0.59                                 -                    
11      0           231.22   192.9    0.78        232.83       190.94       0.8             231.22        190.58        0.77             236.76       193.08       0.68            244.98        192.37        0.53             235.15            204.34            0.7                  247.12             201.48             0.75                  227.11         203.98         0.53              262.31          205.05          0.74               226.76         202.73         0.53              276.07          206.3           0.72               243.37       237.75       0.72            244.09        236.85        0.64             256.24        260.97        0.76             222.47         246.86         0.78              283.93         272.41         0.82              206.21          266.69          0.8                108.49                     171.95                      141.42                    154.18                     164.84                   119.74                    106.36                        81.67                          73.64                                    98.33                                     76.65            2163.24                             3738.12                              -                    
11      1           165.58   174.12   0.77        166.79       172.43       0.74            164.38        172.43        0.74             169.32       173.64       0.56            163.17        173.15        0.48             170.29            181.71            0.8                  160.04             182.19             0.82                  167.15         188.82         0.82              157.87          193.76          0.88               157.75         192.68         0.78              154.14          202.08          0.79               170.41       201.6        0.74            163.42        202.56        0.76             173.66        217.02        0.81             160.04         217.99         0.85              184.51         229.32         0.82              161.37          234.02          0.81               136.09                     166.43                      150.49                    162.93                     168.44                   158.25                    24.13                         20.03                          155.87                                   159.97                                    57.55            2042.49                             3694.31                              -                    
