frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
20;0;1129.16;640.03;0.96;1130.49;638.89;0.89;1127.82;638.89;0.95;1132.39;640.22;0.64;1125.54;640.98;0.56;1138.87;650.12;0.96;1120.4;650.89;0.94;1147.82;660.98;0.86;1118.49;664.22;0.94;1154.67;668.02;0.77;1119.06;673.36;0.81;1137.73;678.5;0.89;1127.06;680.59;0.93;1136.01;692.59;0.86;1131.82;699.06;0.81;1137.53;717.15;0.85;1140.58;718.68;0.76;175.29;168.29;169.52;170.39;175.37;178.19;41.81;20.78;138.19;159.22;77.88;119.58;94.06;
21;0;1131.25;638.55;0.94;1132.86;637.3;0.89;1129.82;637.3;0.96;1135.18;638.91;0.44;1127.67;639.09;0.42;1140.73;648.57;0.85;1122.48;648.92;0.89;1150.39;657.15;0.74;1119.08;661.09;0.81;1152.0;658.23;0.65;1116.58;660.19;0.61;1138.76;677.72;0.85;1127.49;679.33;0.84;1137.51;692.21;0.79;1132.5;698.47;0.8;1136.61;717.43;0.78;1139.3;717.43;0.71;172.06;85.96;177.09;174.94;178.92;174.69;52.23;24.96;127.77;155.04;78.89;304.69;401.83;
22;0;1132.9;638.74;0.95;1134.77;638.18;0.89;1131.4;637.81;0.91;1137.02;640.8;0.45;1129.16;640.05;0.43;1141.32;647.54;0.88;1124.1;647.73;0.89;1145.44;655.21;0.64;1119.42;656.34;0.64;1139.82;673.75;0.54;1118.11;652.41;0.4;1139.26;678.24;0.9;1127.66;679.36;0.9;1139.08;691.9;0.84;1133.09;699.01;0.86;1137.39;715.11;0.74;1140.76;720.16;0.67;134.92;46.96;176.63;175.5;176.95;170.97;32.05;34.94;147.95;145.06;78.89;591.72;238.07;
23;0;1133.6;638.46;0.92;1135.49;638.27;0.88;1132.27;637.9;0.9;1137.58;640.17;0.52;1130.19;639.6;0.43;1141.74;646.8;0.87;1125.84;647.17;0.87;1144.77;658.16;0.71;1121.29;658.91;0.57;1140.61;670.84;0.6;1127.73;671.03;0.53;1140.04;676.71;0.91;1127.73;677.47;0.9;1141.36;693.0;0.87;1130.57;697.73;0.86;1137.01;714.77;0.79;1137.77;714.2;0.71;146.89;130.86;164.04;164.39;172.09;175.6;18.19;24.74;161.81;155.26;76.02;90.18;628.83;
24;0;1134.71;637.96;0.91;1136.4;637.21;0.92;1133.4;637.02;0.95;1138.46;638.52;0.48;1131.89;638.71;0.41;1143.16;646.78;0.82;1127.39;647.53;0.82;1145.41;661.43;0.64;1121.57;648.29;0.66;1143.53;674.01;0.45;1119.69;643.97;0.52;1141.84;678.14;0.82;1128.51;678.89;0.81;1142.41;696.35;0.81;1130.02;700.29;0.84;1137.34;717.75;0.74;1136.21;715.13;0.76;162.76;106.15;164.9;161.34;175.83;178.04;11.15;84.71;168.85;95.29;78.48;129.37;847.02;
25;0;1135.02;638.82;0.89;1136.94;638.06;0.89;1133.69;638.06;0.92;1139.04;639.59;0.52;1132.16;639.59;0.44;1143.63;647.62;0.83;1127.57;648.19;0.83;1145.16;661.38;0.65;1122.02;650.29;0.57;1143.82;672.09;0.45;1127.95;674.96;0.55;1142.29;679.93;0.82;1128.71;680.5;0.82;1142.29;698.67;0.8;1130.82;703.25;0.85;1137.89;720.08;0.73;1135.6;717.4;0.75;166.53;97.26;168.4;166.61;177.63;176.75;8.71;71.26;171.29;108.74;79.92;58.15;962.21;
26;0;1135.36;639.26;0.92;1137.33;638.47;0.9;1133.98;638.67;0.92;1139.1;640.24;0.57;1132.41;640.44;0.48;1144.01;648.5;0.85;1127.69;649.09;0.84;1143.22;660.89;0.7;1125.92;662.27;0.71;1139.88;660.69;0.5;1127.49;674.65;0.68;1142.44;680.16;0.82;1129.07;680.36;0.83;1142.44;699.43;0.81;1130.64;702.18;0.83;1139.1;721.45;0.73;1134.57;712.01;0.71;90.27;165.11;171.37;162.32;177.16;178.4;0.79;10.17;179.21;169.83;77.47;361.71;16.43;
27;0;1137.78;640.97;0.88;1139.03;639.9;0.94;1136.17;640.08;0.97;1141.18;640.97;0.74;1134.02;641.69;0.67;1147.27;651.72;0.86;1128.64;652.25;0.85;1148.88;666.05;0.84;1122.91;665.87;0.76;1146.73;675.54;0.67;1119.51;664.97;0.59;1144.41;682.35;0.82;1131.69;682.52;0.81;1145.48;700.08;0.82;1133.12;699.72;0.79;1139.39;723.0;0.8;1131.51;716.56;0.76;160.82;98.09;161.66;169.77;171.19;179.02;11.76;28.58;168.24;151.42;78.81;490.51;376.53;
28;0;1138.85;642.92;0.88;1140.22;641.55;0.9;1137.31;641.89;0.93;1142.62;642.58;0.68;1134.91;643.44;0.6;1149.13;653.89;0.89;1129.77;654.58;0.87;1151.88;667.43;0.88;1124.28;668.63;0.85;1152.05;677.2;0.78;1122.57;674.29;0.59;1146.05;683.03;0.86;1133.37;682.68;0.84;1147.76;700.85;0.85;1134.91;697.25;0.85;1140.39;724.16;0.86;1130.11;720.73;0.84;169.56;175.54;156.96;162.4;168.46;178.75;17.49;28.61;162.51;151.39;79.52;167.02;294.11;
29;0;1139.81;644.06;0.96;1141.24;642.98;0.95;1138.19;643.16;0.97;1143.21;644.42;0.57;1136.4;644.6;0.6;1150.56;655.17;0.86;1130.31;656.25;0.87;1153.79;668.44;0.87;1126.36;671.31;0.85;1156.12;681.35;0.79;1126.0;681.7;0.63;1146.62;684.21;0.8;1133.89;683.86;0.77;1149.49;701.78;0.81;1136.94;697.12;0.84;1141.42;724.01;0.83;1130.66;721.32;0.84;176.56;167.3;150.78;152.53;162.99;174.46;21.4;22.08;158.6;157.92;78.61;174.37;245.25;
